participant_id,file_id,annotation_id,frame_start,frame_end,activity,chunk_id
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,1,58,82,closing_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,3,102,130,opening_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,4,130,156,entering_car,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,5,156,174,closing_door_inside,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,6,174,219,fastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,6,219,230,fastening_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,7,230,265,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,8,2985,3010,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,9,3010,3055,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,10,3055,3101,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,10,3101,3114,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,11,3114,3155,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,12,3155,3201,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,12,3201,3246,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,12,3246,3291,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,12,3291,3310,sitting_still,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,13,3310,3356,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,13,3356,3401,fetching_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,13,3401,3411,fetching_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,14,3413,3458,opening_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,14,3458,3495,opening_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3498,3543,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3543,3589,working_on_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3589,3634,working_on_laptop,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3634,3679,working_on_laptop,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3679,3724,working_on_laptop,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,15,3724,3770,working_on_laptop,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,16,3770,3792,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,17,3879,3905,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,18,3905,3950,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,18,3950,3995,working_on_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,18,3995,4040,working_on_laptop,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,18,4040,4045,working_on_laptop,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,19,4045,4069,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4070,4116,interacting_with_phone,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4116,4161,interacting_with_phone,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4161,4206,interacting_with_phone,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4206,4251,interacting_with_phone,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4251,4297,interacting_with_phone,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4297,4342,interacting_with_phone,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4342,4387,interacting_with_phone,6
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4387,4432,interacting_with_phone,7
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4432,4479,interacting_with_phone,8
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4479,4525,interacting_with_phone,9
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4525,4570,interacting_with_phone,10
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4570,4615,interacting_with_phone,11
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4615,4660,interacting_with_phone,12
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4660,4705,interacting_with_phone,13
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4705,4750,interacting_with_phone,14
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,20,4750,4765,interacting_with_phone,15
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,21,4765,4811,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,21,4811,4816,working_on_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,22,4816,4854,closing_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,23,4875,4901,placing_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,24,4901,4947,placing_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,24,4947,4993,placing_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,24,4993,5010,placing_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,25,5010,5037,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,26,5038,5083,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,26,5083,5128,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,26,5128,5171,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,27,5171,5212,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,28,5212,5239,unfastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5239,5285,putting_on_jacket,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5285,5331,putting_on_jacket,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5331,5376,putting_on_jacket,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5376,5421,putting_on_jacket,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5421,5467,putting_on_jacket,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,29,5467,5474,putting_on_jacket,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,30,5475,5521,fastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,30,5521,5535,fastening_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,31,5535,5572,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5572,5617,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5617,5663,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5663,5708,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5708,5754,sitting_still,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5754,5799,sitting_still,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5799,5844,sitting_still,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5844,5890,sitting_still,6
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5890,5935,sitting_still,7
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5935,5982,sitting_still,8
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,32,5982,6022,sitting_still,9
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,33,6022,6054,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,34,6054,6098,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,35,6098,6116,opening_bottle,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,36,6117,6162,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,36,6162,6207,using_multimedia_display,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,36,6207,6234,using_multimedia_display,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,37,6234,6263,opening_bottle,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,38,6263,6308,drinking,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,38,6308,6353,drinking,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,38,6353,6357,drinking,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,39,6357,6402,closing_bottle,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,39,6402,6446,closing_bottle,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,40,6446,6488,placing_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,41,6488,6533,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,41,6533,6564,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,42,6564,6607,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,43,6607,6639,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,44,7028,7057,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,45,7057,7080,looking_or_moving_around (e.g. searching),0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,46,7080,7103,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7103,7149,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7149,7194,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7194,7238,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7238,7284,sitting_still,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7284,7329,sitting_still,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7329,7374,sitting_still,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7374,7419,sitting_still,6
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7419,7465,sitting_still,7
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,47,7465,7478,sitting_still,8
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,48,7478,7523,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,48,7523,7526,fetching_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,49,7526,7571,preparing_food,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,49,7571,7616,preparing_food,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,49,7616,7627,preparing_food,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7627,7672,eating,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7672,7718,eating,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7718,7764,eating,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7764,7809,eating,3
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7809,7855,eating,4
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7855,7900,eating,5
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7900,7945,eating,6
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7945,7991,eating,7
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,7991,8035,eating,8
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,8035,8080,eating,9
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,50,8080,8120,eating,10
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,51,8120,8165,placing_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,51,8165,8210,placing_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,51,8210,8238,placing_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,52,8238,8283,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,52,8283,8320,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,53,8321,8365,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,54,8365,8410,opening_bottle,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,54,8410,8416,opening_bottle,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,55,8416,8461,drinking,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,55,8461,8506,drinking,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,55,8506,8545,drinking,2
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,56,8545,8590,closing_bottle,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,56,8590,8610,closing_bottle,1
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,57,8610,8654,placing_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,58,8654,8700,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.kinect_color,58,8700,8745,sitting_still,1
